,MaMH,Số lượng rớt,Tổng số lượng,Tỉ lệ trượt
0,SE102,2647,4276,0.6190364826941066
1,SE104,623,5640,0.11046099290780143
2,SE214,378,1596,0.23684210526315788
3,SE501,327,2101,0.15564017134697763
4,SE100,325,1908,0.17033542976939203
5,SE106,324,2285,0.14179431072210066
6,SE310,297,1263,0.23515439429928742
7,SE112,254,1009,0.25173439048562934
8,SE330,250,1704,0.1467136150234742
9,SE211,217,791,0.2743362831858407
10,SE331,213,892,0.23878923766816143
11,SE103,186,775,0.24
12,SE210,178,650,0.27384615384615385
13,SE114,171,1991,0.08588648920140633
14,SE101,164,2412,0.06799336650082918
15,SE418,158,704,0.22443181818181818
16,SE325,155,962,0.16112266112266113
17,SE207,148,731,0.2024623803009576
18,SE401,147,1042,0.14107485604606526
19,SE213,138,595,0.2319327731092437
20,SE311,136,711,0.19127988748241911
21,SE346,133,1234,0.10777957860615883
22,SE105,123,728,0.16895604395604397
23,SE215,122,1316,0.09270516717325228
24,SE322,117,583,0.2006861063464837
25,SE341,115,463,0.24838012958963282
26,SE337,113,370,0.3054054054054054
27,SE209,106,667,0.15892053973013492
28,SE505,91,1015,0.0896551724137931
29,SE109,91,1193,0.07627829002514669
30,SE121,90,703,0.12802275960170698
31,SE400,86,949,0.09062170706006323
32,SE405,85,980,0.08673469387755102
33,SE220,82,158,0.5189873417721519
34,SE122,78,627,0.12440191387559808
35,SE111,75,855,0.08771929824561403
36,SE313,70,465,0.15053763440860216
37,SE312,67,543,0.12338858195211787
38,SE208,63,651,0.0967741935483871
39,SE108,62,961,0.06451612903225806
40,SE347,61,572,0.10664335664335664
41,SE332,60,330,0.18181818181818182
42,SE301,54,362,0.14917127071823205
43,SE212,45,533,0.08442776735459662
44,SE107,45,184,0.24456521739130435
45,SE321,41,255,0.1607843137254902
46,SE417,41,643,0.06376360808709176
47,SE326,39,361,0.10803324099722991
48,SE356,38,220,0.17272727272727273
49,SE334,37,254,0.14566929133858267
50,SE335,31,84,0.36904761904761907
51,SE324,30,31,0.967741935483871
52,SE221,29,61,0.47540983606557374
53,SE357,25,290,0.08620689655172414
54,SE339,24,146,0.1643835616438356
55,SE323,21,40,0.525
56,SE350,20,211,0.0947867298578199
57,SE327,20,37,0.5405405405405406
58,SE113,16,591,0.02707275803722504
59,SE358,15,482,0.03112033195020747
60,SE333,12,32,0.375
61,SE005,12,708,0.01694915254237288
62,SE340,11,60,0.18333333333333332
63,SE344,11,71,0.15492957746478872
64,SE320,9,18,0.5
65,SE328,8,51,0.1568627450980392
66,SE343,7,30,0.23333333333333334
67,SE355,2,21,0.09523809523809523
